Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
48829,972018869449960,February,TX,3533.7815,1403.0,40,44,1,,27,2,7,0,0,"Native, Born In US",74,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,35.075,3.5574886259885248
50245,960794580626507,February,VT,357.7859,2884.61,45,44,1,,35,2,1,0,0,"Native, Born In US",VT,Offices of physicians (6211),840,"Private, Nonprofit",No,No,Employed-At Work,1.0,True,64.10244444444444,4.1604824980582364
53576,950948097101649,March,AZ,3340.0696,2500.0,40,43,1,,62,1,1,0,0,"Native, Born In US",86,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,62.5,4.135166556742356
55237,100609974197484,March,CA,3089.5772,2403.84,55,44,1,,31,2,1,0,0,"Native, Born In US",93,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,43.70618181818182,3.777489552467263
57548,754199639000883,March,DE,334.0228,2307.69,40,44,1,,62,1,1,0,0,"Native, Born In US",51,National security and international affairs (928),840,Government - Federal,No,No,Employed-At Work,1.0,False,57.69225,4.0551228490683195
60358,861613075001703,March,ID,960.1028,865.38,45,43,1,,46,2,1,0,0,"Native, Born In US",82,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,19.230666666666668,2.956506227053154
62235,252101610900100,March,IA,1341.8455,1115.38,45,39,1,,42,2,1,2,10,"Native, Born In US",IA,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,24.786222222222225,3.210287943237214
63830,499440207650752,March,MD,2244.8945,615.0,40,43,1,,23,1,7,0,0,"Native, Born In US",52,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,15.375,2.7327428136925818
64425,945659350489207,March,MA,3464.7718,1057.69,45,43,1,,25,2,7,0,0,"Native, Born In US",MA,Advertising and related services (5418),840,"Private, For Profit",No,No,Employed-At Work,1.0,True,23.504222222222225,3.157180074042299
65484,120701087934711,March,MN,1579.3924,1200.0,20,43,1,,38,2,1,3,3,"Native, Born In US",MN,"Animal food, grain and oilseed milling (3111, 3112)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,60.0,4.0943445622221
